Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
248	20.894	11.756	12.069	13.034	737.928	216000.000	175.791	0.165	1367.620	5.900
249	20.884	11.768	12.248	12.879	737.928	216000.000	176.137	0.169	1382.990	6.100
250	20.836	11.745	11.719	13.099	737.928	216000.000	174.308	0.168	1364.680	6.100
251	20.835	11.759	11.024	13.709	737.928	216000.000	173.512	0.171	1372.940	6.400
252	20.869	11.770	10.494	14.432	737.928	216000.000	174.427	0.171	1384.510	6.500
253	20.876	11.777	10.502	15.593	737.928	216000.000	176.537	0.170	1395.790	6.500
254	20.828	11.793	10.680	16.683	737.928	216000.000	179.867	0.167	1407.630	6.400
255	20.799	11.804	10.334	17.264	737.928	216000.000	181.102	0.168	1418.940	6.500
256	20.876	11.794	9.781	16.625	737.928	216000.000	180.131	0.165	1413.450	6.400
257	20.892	11.795	9.567	15.990	737.928	216000.000	178.671	0.169	1418.780	6.600
258	20.863	11.787	9.912	14.652	737.928	216000.000	177.980	0.170	1413.090	6.500
259	20.853	11.789	10.333	13.359	737.928	216000.000	176.722	0.172	1409.370	6.500
260	20.883	11.799	10.377	12.139	737.928	216000.000	175.554	0.178	1421.530	6.700
261	20.865	11.805	10.379	11.506	737.928	216000.000	175.719	0.181	1432.550	6.800
262	20.807	11.810	10.893	12.542	737.928	216000.000	176.988	0.181	1433.290	6.800
263	20.843	11.824	11.702	13.268	737.928	216000.000	175.616	0.190	1446.400	7.200
264	20.878	11.836	11.395	13.277	737.928	216000.000	175.831	0.194	1464.390	7.400
265	20.863	11.830	10.726	13.674	737.928	216000.000	177.592	0.187	1462.230	7.200
266	20.856	11.849	10.353	13.509	737.928	216000.000	177.154	0.194	1480.070	7.500
267	20.893	11.857	9.456	13.421	737.928	216000.000	178.487	0.192	1494.330	7.500
268	20.906	11.853	8.253	13.489	737.928	216000.000	179.335	0.187	1494.670	7.400
269	20.891	11.848	8.649	13.844	737.928	216000.000	181.049	0.185	1499.970	7.300
270	20.883	11.835	11.176	15.021	737.928	216000.000	184.245	0.178	1485.120	6.800
271	20.960	11.826	10.867	15.717	737.928	216000.000	185.156	0.172	1480.010	6.600
272	20.954	11.823	4.519	15.379	737.928	216000.000	186.743	0.157	1484.270	6.400
